observation_date,PCU513120513120M
1979-12-01,100.0
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,102.1
1981-01-01,102.1
1981-02-01,102.3
1981-03-01,102.3
1981-04-01,101.6
1981-05-01,103.6
1981-06-01,103.1
1981-07-01,103.1
1981-08-01,102.9
1981-09-01,103.3
1981-10-01,103.7
1981-11-01,105.6
1981-12-01,105.6
1982-01-01,105.8
1982-02-01,105.6
1982-03-01,105.6
1982-04-01,105.8
1982-05-01,105.8
1982-06-01,105.8
1982-07-01,105.8
1982-08-01,105.8
1982-09-01,105.8
1982-10-01,105.8
1982-11-01,105.8
1982-12-01,105.8
1983-01-01,105.8
1983-02-01,105.8
1983-03-01,105.8
1983-04-01,105.8
1983-05-01,105.8
1983-06-01,105.8
1983-07-01,105.8
1983-08-01,105.8
1983-09-01,126.9
1983-10-01,120.2
1983-11-01,120.2
1983-12-01,120.2
1984-01-01,120.2
1984-02-01,120.2
1984-03-01,113.7
1984-04-01,114.2
1984-05-01,114.2
1984-06-01,114.2
1984-07-01,116.8
1984-08-01,116.8
1984-09-01,116.8
1984-10-01,116.8
1984-11-01,116.8
1984-12-01,116.8
1985-01-01,116.8
1985-02-01,116.8
1985-03-01,116.8
1985-04-01,116.8
1985-05-01,116.8
1985-06-01,116.8
1985-07-01,125.0
1985-08-01,125.0
1985-09-01,125.0
1985-10-01,125.0
1985-11-01,125.0
1985-12-01,125.0
1986-01-01,125.0
1986-02-01,132.2
1986-03-01,132.2
1986-04-01,132.2
1986-05-01,132.2
1986-06-01,132.2
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,
