force,tier,size,tightness_min_pairwise_r,sign_purity,n_pos,n_neg,usable,status,members
Energy & import prices complex,TIGHT,12,0.7292,1.0,12,0,yes,usable,WTI crude oil; Refined petroleum products PPI; Import: Industrial Supplies & Materials; Brent Crude; WTI Crude; Fuels and Related Products and Power: Crude; Fuels and Related Products and Power: Natura; Import Price Index; Import Price Index; Import Price Index; Global price of Energy index; Global Price Index of All Commodities
Energy & import prices complex,TIGHT,6,0.7498,1.0,6,0,yes,usable,"Natural gas PPI; Natural Gas, US Henry Hub Gas; Fuels and Related Products and Power: Gas Fu; Fuels and Related Products and Power: Utilit; Import Price Index; Import Price Index"
Industrial activity & macro complex,TIGHT,5,0.8637,0.8,4,1,yes,usable,Manufacturing employment; Employment: electrical-equip mfg; Primary Metal Manufacturing; Fabricated Metal Product Manufacturing; Machinery Manufacturing
Regional-Fed survey complex,TIGHT,4,0.8233,1.0,0,4,yes,usable,Current Work Hours; Diffusion Index for Fede; Current Work Hours; Diffusion Index for Fede; Current Work Hours; Percent Reporting Increa; Current Work Hours; Percent Reporting Increa
Regional-Fed survey complex,TIGHT,4,0.7583,1.0,4,0,yes,usable,Current Work Hours; Percent Reporting Decrea; Current Work Hours; Percent Reporting Decrea; Current General Activity; Percent Reporting; Current General Activity; Percent Reporting
Regional-Fed survey complex,TIGHT,4,0.8628,1.0,4,0,yes,usable,Future Work Hours; Diffusion Index for Feder; Future Work Hours; Diffusion Index for Feder; Future Work Hours; Percent Reporting Increas; Future Work Hours; Percent Reporting Increas
Credit & rates complex,TIGHT,4,0.7515,0.75,1,3,yes,usable,Baa Corporate Bond Yield Relative to Yield o; Aaa Corporate Bond Yield Relative to Yield o; Moody's Seasoned Aaa Corporate Bond Yield Re; Moody's Seasoned Baa Corporate Bond Yield Re
Regional-Fed survey complex,TIGHT,4,0.8677,1.0,0,4,yes,usable,Future Capital Expenditures; Future Capital Expenditures; Diffusion Index; Future Capital Expenditures; Percent Reporti; Future Capital Expenditures; Percent Reporti
Rates & credit complex,TIGHT,4,0.7958,1.0,4,0,yes,usable,"10-Year Constant Maturity, Quoted on an Inve; 30-Year Fixed Rate Mortgage Average; Baa Corporate Bond Yield; Aaa Corporate Bond Yield"
Rates complex,TIGHT,4,0.7215,1.0,4,0,yes,usable,"2-Year Constant Maturity, Quoted on an Inves; 1-Year Constant Maturity, Quoted on an Inves; 3-Month Treasury Bill Secondary Market Rate,; Market Yield on U.S. Treasury Securities at"
