,Metals complex,Energy & import prices complex,Non-ferrous metals complex,Orders/demand complex,Industrial activity complex,Import prices complex,Plastics & materials complex,Steel complex,Chemicals complex,Orders/demand complex (2),Non-ferrous metals complex (2),Chemicals complex (2),Steel complex (2),Global tin price,Aluminum mill shapes PPI
Metals complex,1.0,0.6135189292517346,0.8444925361843049,0.6740434835096807,0.6974474212345447,0.3842068508257465,0.3315507537139455,0.5704413701865768,0.6213132517603958,0.6290948648997331,0.8637925292056652,0.5528015365566938,0.7158162707402669,0.6527271822786451,0.6922240252291278
Energy & import prices complex,0.6135189292517346,1.0,0.7692592288059781,0.6110888913775329,0.6291879275367278,0.6772459169751871,0.5758148686105327,0.5977982502297636,0.8248110842577463,0.5083913705530737,0.6166953743685282,0.5578129916765673,0.6183458354266694,0.5454202355775686,0.5086029734854239
Non-ferrous metals complex,0.8444925361843049,0.7692592288059781,1.0,0.7724461014283058,0.768882101895376,0.7901578219685997,0.6413217111333029,0.8381228178710166,0.8498760374220063,0.8114850128530199,0.8820330868978815,0.7294464323825244,0.8210708682491566,0.7557296292499046,0.8350742791796721
Orders/demand complex,0.6740434835096807,0.6110888913775329,0.7724461014283058,1.0,0.8348955889116609,0.5818954682877618,0.45573661060130344,0.6069540379306964,0.6682456289779006,0.7034202871287166,0.6742945478313093,0.44801169055338197,0.5716008382953784,0.48548846331351936,0.6111431257043661
Industrial activity complex,0.6974474212345447,0.6291879275367278,0.768882101895376,0.8348955889116609,1.0,0.5635038561136331,0.3662783874875936,0.7336255866311693,0.6996341949131228,0.7702174757528248,0.7185219744193752,0.5690232494190548,0.7793958443995699,0.5888095774669696,0.5559399353134843
Import prices complex,0.3842068508257465,0.6772459169751871,0.7901578219685997,0.5818954682877618,0.5635038561136331,1.0,0.8075688069286435,0.8342864544172353,0.8513986096342153,0.6832126587650211,0.5941616338012901,0.6963893210489956,0.651758482221768,0.5956830418570969,0.6558577173143612
Plastics & materials complex,0.3315507537139455,0.5758148686105327,0.6413217111333029,0.45573661060130344,0.3662783874875936,0.8075688069286435,1.0,0.7095659009726101,0.8131110923906731,0.5518788202842793,0.526222426966169,0.4538202687870918,0.4937133928033272,0.3343322315568677,0.697510175253343
Steel complex,0.5704413701865768,0.5977982502297636,0.8381228178710166,0.6069540379306964,0.7336255866311693,0.8342864544172353,0.7095659009726101,1.0,0.8317289011141998,0.743835515905097,0.7656727748091373,0.7436243875715521,0.6757415965866095,0.8319362348033326,0.6506058430591065
Chemicals complex,0.6213132517603958,0.8248110842577463,0.8498760374220063,0.6682456289779006,0.6996341949131228,0.8513986096342153,0.8131110923906731,0.8317289011141998,1.0,0.6289952785920764,0.7404486189007525,0.6741284319869949,0.40016409042341633,0.6288550993341562,0.6505186368498836
Orders/demand complex (2),0.6290948648997331,0.5083913705530737,0.8114850128530199,0.7034202871287166,0.7702174757528248,0.6832126587650211,0.5518788202842793,0.743835515905097,0.6289952785920764,1.0,0.597496702360802,0.5740610721317606,0.7236261449021719,0.5343782525891031,0.5448102064981694
Non-ferrous metals complex (2),0.8637925292056652,0.6166953743685282,0.8820330868978815,0.6742945478313093,0.7185219744193752,0.5941616338012901,0.526222426966169,0.7656727748091373,0.7404486189007525,0.597496702360802,1.0,0.5132075695116949,0.8070493374325403,0.6505483034606077,0.7993942328992134
Chemicals complex (2),0.5528015365566938,0.5578129916765673,0.7294464323825244,0.44801169055338197,0.5690232494190548,0.6963893210489956,0.4538202687870918,0.7436243875715521,0.6741284319869949,0.5740610721317606,0.5132075695116949,1.0,0.7306052917117596,0.7006238777659969,0.43350908770300783
Steel complex (2),0.7158162707402669,0.6183458354266694,0.8210708682491566,0.5716008382953784,0.7793958443995699,0.651758482221768,0.4937133928033272,0.6757415965866095,0.40016409042341633,0.7236261449021719,0.8070493374325403,0.7306052917117596,1.0,0.7369417810626762,0.5833266351751061
Global tin price,0.6527271822786451,0.5454202355775686,0.7557296292499046,0.48548846331351936,0.5888095774669696,0.5956830418570969,0.3343322315568677,0.8319362348033326,0.6288550993341562,0.5343782525891031,0.6505483034606077,0.7006238777659969,0.7369417810626762,1.0,0.5496776608707594
Aluminum mill shapes PPI,0.6922240252291278,0.5086029734854239,0.8350742791796721,0.6111431257043661,0.5559399353134843,0.6558577173143612,0.697510175253343,0.6506058430591065,0.6505186368498836,0.5448102064981694,0.7993942328992134,0.43350908770300783,0.5833266351751061,0.5496776608707594,1.0
