force,tier,origin,type,n_signals,members,member_ids,lead_months,raw_r,partial_r_ctrl_market,beta_signal,survival,leads,smoothing_pass,holds_pass,is_comover,verdict,status,n,episode_pass,lead_class
Steel complex,TIGHT,primary,cluster composite,4,"Iron & steel PPI, Cold-rolled steel sheet, Steel mill products PPI, Producer Price Index by Commodity: Metals an",WPU101;WPU101707;WPU1017;WPS101,7,0.8637,0.6906,3.1436,survives,yes,yes,yes,no,CONFIRMED,scored,233,yes,true lead
Manufacturers' Unfilled Orders: Photographic,TIGHT,primary,single signal,1,Manufacturers' Unfilled Orders: Photographic,A33GUO,22,0.6376,0.6384,,survives,yes,yes,yes,no,STRONG / NOT ROBUST,scored,379,,true lead
Machinery and Equipment: Miscellaneous Instr,TIGHT,primary,single signal,1,Machinery and Equipment: Miscellaneous Instr,WPU118,-10,0.5982,0.6042,,survives,no,yes,yes,no,REVERSED,scored,530,,lags
Current Delivery Time,TIGHT,primary,single signal,1,Current Delivery Time,DTCDISA066MSFRBNY,-10,-0.5475,-0.5983,,survives,no,yes,yes,no,REVERSED,scored,277,,lags
Producer Price Index by Commodity: Metals an,TIGHT,primary,single signal,1,Producer Price Index by Commodity: Metals an,WPU101506,-3,0.6165,0.5523,,survives,no,yes,yes,no,REVERSED,scored,521,,lags
Retailers: Inventories to Sales Ratio,TIGHT,primary,single signal,1,Retailers: Inventories to Sales Ratio,RETAILIRSA,12,-0.5465,-0.5378,,survives,yes,yes,yes,no,STRONG / NOT ROBUST,scored,388,,true lead
Federal Funds Effective Rate,TIGHT,primary,single signal,1,Federal Funds Effective Rate,FEDFUNDS,-7,0.5273,0.5229,,survives,no,yes,yes,no,REVERSED,scored,694,,lags
Plastics & materials complex,TIGHT,primary,cluster composite,4,"Plastic products PPI, Rubber and Plastic Products, Rubber and Plastic Products: Plastic Constru, Rubber and Plastic Products: Unsupported Pla",WPU072;WPU07;WPU0721;WPU0722,2,0.7849,0.517,0.7573,survives,yes,yes,yes,yes,CO-MOVER (not a lead),scored,651,yes,co-mover
Steel complex,TIGHT,primary,cluster composite,2,"Iron & steel scrap PPI, Producer Price Index by Commodity: Metals an",WPU1012;WPS1012,9,0.6594,0.5013,2.2067,survives,yes,yes,yes,no,CONFIRMED,scored,332,yes,true lead
Residential,TIGHT,primary,single signal,1,Residential,TLRESCONS,-14,-0.4858,-0.4902,,survives,no,yes,yes,no,REVERSED,scored,267,,lags
Metals and Metal Products: Nonferrous Forge,TIGHT,primary,single signal,1,Metals and Metal Products: Nonferrous Forge,WPU1027,-2,0.5219,0.4653,,survives,no,yes,yes,yes,CO-MOVER (not a lead),scored,496,,co-mover
Import Price Index (End Use): Lumber and Oth,TIGHT,primary,single signal,1,Import Price Index,IR130,14,0.4883,0.4532,,survives,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,416,,true lead
